프로그램명,신청대상,프로그램 목표,프로그램 주요내용,프로그램 분류,학부,학적,학년,창의·혁신역량,자기주도적 학습역량,지식·정보·기술 활용역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
지역거버넌스 구직기술특강1 누구나 작성하기 쉬운 자기소개서 레시피,학부KFL학부,진로 및 취업 역량 강화를 통한 성공 취업,"구직기술특강1 인턴부터 수시채용 시즌 자기소개서 작성을 위한 항목별 작성법을 점검하고 경험 정리 구조화하기
 ",-,단과대학 ,전체,전체,0,50,50,0,0,0,"성공, 강화를, 통한, 진로, 취업, 역량","구직기술특강1, 작성법을, 구조화하기, 수시채용, 인턴부터, 작성을, 경험, 자기소개서, 항목별, 점검하고"
지역거버넌스 진로탐색특강2 진로 흥미 맞춤형 진로개발,학부KFL학부,진로 및 취업 역량 강화를 통한 성공 취업,"진로탐색프로그램2 흥미검사로 자신을 이해하고 진로개발을 위한 계획세우기
  워크넷  직업선호도검사L형 검사 사전 진행
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"성공, 강화를, 통한, 진로, 취업, 역량","진로탐색프로그램2, 직업선호도검사, 흥미검사로, 진로개발을, 검사, 진행, 이해하고, 자신을, 사전, l형"
지역거버넌스 진로탐색특강1 진로가치 같이 목표,학부KFL학부,진로 및 취업 역량 강화를 통한 성공 취업,"진로탐색프로그램1 나에게 중요한 가치를 탐색하고 같이 진로 목표 세우기
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"성공, 강화를, 통한, 진로, 취업, 역량","진로탐색프로그램1, 가치를, 탐색하고, 목표, 중요한, 세우기, 진로, 나에게, 같이"
지역거버넌스 구직기술특강2 알면 두렵지 않은 AI면접  역량검사 특강,학부KFL학부,진로 및 취업 역량 강화를 통한 성공 취업,"구직기술특강2 AI면접  역량검사 구조 파악과 답변 방향 전략세우기
 ",-,단과대학 ,전체,전체,0,50,50,0,0,0,"성공, 강화를, 통한, 진로, 취업, 역량","ai면접, 구직기술특강2, 답변, 파악과, 구조, 전략세우기, 역량검사, 방향"
졸업생을 위한 자소병법자기소개서 항목별 컨설팅,-,졸업생들의 구직기술 향상과 이를 통한 구직의욕 고취 및 취업준비전략 제공,"2022년 상반기 최종 졸업생을 위한 자소병법자기소개서 항목별 컨설팅
 자기소개서 각 문항별 질문 의도와 그에 맞는 작성 전략 컨설팅
 성장과정배경 성격의 장단점 직무경험역량 이렇게 3항목을 뽑아봤습니다
 아래 설명에 해당되는 분들은 바로바로 CLICK 해 주세요
  서류전형 통과가 생각보다 쉽지 않다면
 항목별 의도가 도대체 뭐야 라는 생각이 든다면
 일단 지금 현재 취업 준비생의 마인드를 갖고 있다면
 일시 2022년 6월 22일 수요일 14001700
 지원대상 한국외대 졸업생선착순 20명  ZOOM 활용
 신청방법 Hufsability  비교과 프로그램
 신청마감 2022년 6월 21일 정오까지
 신청문의 0313304686
 ",-,단과대학 ,졸업 ,전체,0,0,50,50,0,0,"졸업생들의, 구직의욕, 구직기술, 제공, 통한, 이를, 향상과, 취업준비전략, 고취","졸업생선착순, 성장과정, 신청문의, 성격의, 준비생의, 졸업생을, 서류전형, 신청방법, 직무경험, 3항목을"
전지적선배시점 Ep03 구매국제물류해외영업편,-,진로 탐색,"2022년에도 당신의 진로에 참견해드립니다
전지적선배시점 Ep03 구매국제물류해외영업편
  구매국제물류해외영업에 진심인 외대인 미생 속 상사맨이 되고싶은 외대인 모여라
이번 전지적선배시점에서는 H기업 첨단소재 화학 물류영업 및 삼국무역 담당자를 거쳐  현재 태광산업에서 구매업무를 맡고 계신  이탈리아어과광고PR브랜딩전공 10학번 동문님을 모시고 구매국제물류해외영업 진로에 대해 전반적으로 참견해드릴 예정입니다
 강연 일정 2022년 6월 30일 목요일 저녁 7시  9시
강연 장소 ZOOM 신청하신 학생분들께 당일 오후에 ZOOM 참가 코드가 발송됩니다 종합정보시스템에 등재된 이메일 휴대폰 번호로 각 1회
신청 마감 2022년 6월 29일 수요일 23시 59분까지
          사전 질문 마감은 26일 일요일 23시 59분까지
  사정이 생겨서 수강이 어려운 경우 듣고싶어하는 다른 대기 학생이 신청할 수 있도록 반드시 취소해주시기 바랍니다
 무단 불참 시 차후 진로취업지원센터 프로그램 참여에 불이익이 있을 수 있습니다
 동문특강 프로그램 성격상 한국외대 재학생 및 졸업생으로만 참여 신청 자격을 한정합니다
 문의 02 2173  2146",-,전체,전체,전체,0,50,25,0,25,0,"탐색, 진로","태광산업에서, 이탈리아어과, 전지적선배시점에서는, 브랜딩전공, 신청, 졸업생으로만, 당신의, 동문특강, 상사맨이, 미생"
전지적선배시점 Ep02 네이버파이낸셜 IT서비스기획자편,학부,진로 탐색," 2022년에도 당신의 진로에 참견해드립니다
전지적선배시점 Ep02 네이버파이낸셜 서비스기획자편
  네라카쿠배 가고싶은 외대인 IT기획자가 되고싶은 외대인 모두모두 모여라
이번 전지적선배시점에서는 NAVER FINANCIAL네이버페이 IT서비스기획자로 계신 중국지역학전공문화콘텐츠학전공 12학번 동문님을 모시고 IT핀테크IT서비스기획 진로에 대해 전반적으로 참견해드릴 예정입니다
 강연 일정 2022년 6월 27일 월요일 저녁 7시  9시
강연 장소 ZOOM 신청하신 학생분들께 당일 오후에 ZOOM 참가 코드가 발송됩니다 종합정보시스템에 등재된 이메일 휴대폰 번호로 각 1회
신청 마감 2022년 6월 26일 일요일 23시 59분까지
          사전 질문 마감은 23일 목요일 23시 59분까지
  사정이 생겨서 수강이 어려운 경우 듣고싶어하는 다른 대기 학생이 신청할 수 있도록 반드시 취소해주시기 바랍니다
 무단 불참 시 차후 진로취업지원센터 프로그램 참여에 불이익이 있을 수 있습니다
 동문특강 프로그램 성격상 한국외대 재학생 및 졸업생으로만 참여 신청 자격을 한정합니다
 문의 02 2173  2146",진로취업프로그램강의형,전체,전체,전체,0,50,25,0,25,0,"탐색, 진로","중국지역학전공, 문화콘텐츠학전공, 전지적선배시점에서는, 졸업생으로만, 전반적으로, 동문특강, 네이버파이낸셜, 신청하신, 전지적선배시점, 목요일"
롯데인재개발원 주관 모의면접 신청 안내620,학부KFL학부,롯데인재개발원 모의면접 참여로 취업준비에 마침표를 찍어봅시다,"롯데인재개발원 모의면접 신청 안내
  롯데인재개발원에서 모의면접 프로그램 신청을 받습니다 해당기업 취업에 관심있는 분들의 많은 참여 바랍니다
  자격요건  2022년 8월 졸업예정자 또는 기졸업자
  신청기간  620월 오전900 까지
  신청방법 
 가 첨부된 자기소개서 양식 작성개인정보제공동의서 포함
 나 본 페이지 하단의 분반신청  참여 가능한 일자 선택개인 기말고사 일정 등 필히 고려
 다 신청 완료 후 작성한 자기소개서 파일 ppt파일 형태로 과제 제출 버튼 클릭하여 업로드미 업로드시 신청하지 않은 것으로 간주함
 라 신청 완료
   상세 안내 사항  본 모의면접은 롯데 채용 면접유형과 동일한 방식으로 진행됨실제 채용과 관계 없음
 목적  공정한 면접을 위한 롯데그룹 면접위원 교육과정 내 모의면접에 모의지원자로 실제 취업준비생을 초대하여 롯데그룹과 함께 면접역량을 향상하고 취업준비생의 취업을 응원하고 독려함
 복장  비즈니스 캐주얼
 일정  614화 622수 719화 720수 
 시간  09시 30분  18시 30분 종일 진행
 학생 참여 부분   모의지원자로 롯데 채용면접과 유사한 면접을 대면 참여역량면접 및 PT 면접 반복 경험
 장소  서울시 중구 남대문로 81 롯데빌딩 25층
 특전  1 면접비 7만 5천원 지급 중식 별도 제공
          2 모의면접 종료 후 지원자 개인별 면접 강약점 피드백 제공 서면 또는 면대면
 제출서류   개인정보 제공 동의서 및 자기소개서 1부 주어진 양식에 작성
 비고  롯데그룹 계열사의 채용 면접이 예정되어 있는 경우 참석 불가할 수 있음
   문의  0221732499진로취업지원센터",-,단과대학 대학원 ,전체,전체,50,0,0,50,0,0,"모의면접, 마침표를, 참여로, 취업준비에, 찍어봅시다, 롯데인재개발원","개인정보제공동의서, 면접유형과, 채용면접과, 모의면접은, 신청기간, 분반신청, 모의면접에, 모의면접, 신청방법, 신청하지"
메타버스를 타고 실크로드로,학부학부,급부상하는 Web 3.0 플랫폼 메타버스에 대한 이해를 통해 실전 취업 경쟁력 제고," 당일 강연장에 도착하신 분들께는 선착순으로 스타벅스 커피쿠폰을 지급합니다
 신청 후 취소를 원하시는 분은 신청 취소를 바랍니다
 신청 후 불참시 향후 진로취업지원센터 프로그램 참여에 제한이 있을 수 있습니다
 문의 서울 진로취업지원센터 0221732235",진로취업프로그램강의형,단과대학 ,전체,전체,25,25,50,0,0,0,"web, 급부상하는, 경쟁력, 메타버스에, 통해, 실전, 대한, 이해를, 제고, 플랫폼","신청, 불참시, 도착하신, 지급합니다, 선착순으로, 원하시는, 바랍니다, 서울, 문의, 당일"
2022 청년해외취업지원 프로그램 한국외대 사전설명회 613  국내외 직무 연수이후 해외취업기회,학부KFL학부,해외취업 역량 교육을 통해 해외취업에 성공한다.,"한국외국어대학 신한금융희망재단 Kotra가 함께 사회공헌 프로그램인 
 청년해외취업지원 2022 Global Young Challenger   과정을 진행하고 있습니다
 해외취업을 희망하는 청년들의 기본 역량을 강화하기 위한 7개월여간 국내외 연수를 통해 
 언어 지역학 직무교육 등 제반 교육과정은 물론 해외 취업 매칭까지 전방위적인 지원이 이루어지는 
 본 과정은 참가자의 비용 부담 없이 전액 무료로 진행 예정 개인경비 및 비자발급비용은 제외
 한국외대 오프라인 사전 설명회
1 글로벌캠퍼스 설명회 마감
2 서울캠퍼스 오프라인 설명회 일정타대생 입장 가능
  일시  20220613월 14001600
  장소  본관 707호
  신청  Hufsability 비교과  2022 청년해외취업지원 프로그램  한국외대 사전설명회
 프로그램 일정 및 보다 상세한 내용은 포스트 우측 상단 QR 코드 통해 확인하세요
 문의 031 330 4754  4755  4603
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"성공한다, 통해, 교육을, 해외취업에, 해외취업, 역량","신한금융희망재단, 교육과정은, 비자발급비용은, 신청, 확인하세요, 진행하고, 청년들의, 직무교육, 강화하기, 과정은"
2022 글로벌 기업 채용박람회526527 섬유센터 신청은 522 자정까지,학부KFL학부,글로벌 기업 채용박람회 참여를 통해 정보 취득 및 관심 외국계기업과 면접의 기회를 갖는다,"미국 일본 기타 국가 포함 10여개국 100여개 기업에서 600여명의 채용을 진행중입니다
 기업정보취득  취업역량확인  면접기회
 를 잡으세요   QR코드로 상세 정보 확인후 522일 자정까지신청
  ",진로취업프로그램활동형,전체,전체,전체,25,25,25,25,0,0,"면접의, 기업, 통해, 정보, 글로벌, 관심, 참여를, 취득, 채용박람회, 외국계기업과","600여명의, 100여개, qr코드로, 10여개국, 기업에서, 정보, 진행중입니다, 채용을, 일본, 미국"
전지적선배시점 Ep01 예술의전당 프로그램 기획PD편,-,진로 탐색," 2022년에도 당신의 진로에 참견해드립니다
전지적선배시점 Ep01 예술의전당 프로그램 기획PD편
  공연전시문화예술 기획에 진심인 외대인을 절찬 모집합니다
이번 전지적선배시점에서는 서울 예술의전당 프로그램기획PD로 계신 중국지역학전공문화콘텐츠학전공 13학번 동문님을 모시고 공연전시문화예술 컨텐츠 기획 진로에 대해 전반적으로 참견해드릴 예정입니다
 강연 일정 2022년 5월 30일 월요일 저녁 7시  9시
강연 장소 ZOOM 신청하신 학생분들께 당일 오후에 ZOOM 참가 코드가 발송됩니다 종합정보시스템에 등재된 이메일 휴대폰 번호로 각 1회
신청 마감 2022년 5월 29일 일요일 23시 59분까지
          사전 질문 마감은 26일 목요일 23시 59분까지
  사정이 생겨서 수강이 어려운 경우 듣고싶어하는 다른 대기 학생이 신청할 수 있도록 반드시 취소해주시기 바랍니다
 무단 불참 시 차후 진로취업지원센터 프로그램 참여에 불이익이 있을 수 있습니다
 동문특강 프로그램 성격상 한국외대 재학생 및 졸업생으로만 참여 신청을 한정합니다
 문의 02 2173  2146",-,단과대학 ,전체,전체,0,50,25,0,25,0,"탐색, 진로","중국지역학전공, 문화콘텐츠학전공, 전지적선배시점에서는, 신청하신, 졸업생으로만, 신청을, 당신의, 동문특강, 전지적선배시점, 신청"
All about Cloud Careers AWS 채용설명회 포함 외부프로그램이므로 QR코드로 빨리 신청하세요,학부KFL학부,클라우드 커리어에 대한 이해를 통해 커리어 선택의 폭을 넓힌다, ,진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"커리어에, 커리어, 클라우드, 이해를, 선택의, 통해, 폭을, 대한, 넓힌다",
직무별 자기소개서 그룹 컨설팅,학부KFL학부,직무별 맞춤 자기소개서 완성을 통해 구직기술 향상,"마케팅 해외영업 경영지원인사 직무 분석 하고
 자기소개서 작성의 노하우를 알아보자 
  52426일 선착순 20명  대기 10명 
      ",진로취업프로그램상담컨설팅형,단과대학 ,전체,전체,25,25,25,25,0,0,"완성을, 구직기술, 자기소개서, 직무별, 통해, 향상, 맞춤","20명, 마케팅, 경영지원, 10명, 선착순, 작성의, 자기소개서, 알아보자, 26일, 노하우를"
취준생을 위한 노션Notion 활용 전략,학부학부,자기관리 및 프로젝트 관리 능력 향상,"  참여 신청 후 부득이 참여하지 못하게 될 경우 꼭 취소를 부탁드립니다
신청 후 불참 시 비교과프로그램 수강에 제한이 생길 수 있습니다
문의 서울 진로취업지원센터 0221732235",진로취업프로그램강의형,단과대학 ,전체,전체,0,50,50,0,0,0,"자기관리, 능력, 프로젝트, 관리, 향상","신청, 생길, 수강에, 부탁드립니다, 비교과프로그램, 서울, 참여하지, 경우, 부득이, 2235"
글로벌 축제기간 진로취업지원센터 홍보 및 청년고용정책 소개 이벤트,학부KFL학부,청년고용정책 소개 및 진로취업지원센터 홍보, ,진로취업프로그램활동형,단과대학 ,전체,전체,50,0,0,50,0,0,"청년고용정책, 홍보, 소개, 진로취업지원센터",
한국경제신문과 함께하는 직무체험ESG소셜마케팅 프로그램_여름방학 알차게 보내기,학부KFL학부,"직무체험을 통해 학생들의 진로설정, 취업준비(실무경험)에 도움을 주고자 기획되었습니다 :)", ,진로취업프로그램활동형,단과대학 대학원 ,전체,전체,0,75,25,0,0,0,"직무체험을, 진로설정, 실무경험, 학생들의, 통해, 주고자, 도움을, 취업준비, 기획되었습니다",
외국계 반도체 B2B 전문 기업 SMITH사 해외영업직 온라인 채용설명회,-,온라인 채용 설명회," 2022학년도 1학기 우리대학 재학생 및 졸업생의 취업 역량 강화를 위해 기업 채용 설명회를 운영합니다
 1 채용 정보
  가 기업명 외국계 반도체 B2B 전문 기업 SMITH스미스 앤 어소시에이트 코리아
  나 채용 직무 및 인원 해외영업직 0명
  다 자격 요건 기졸업자 및 2022년 8월 졸업예정자 전공 무관
 2 채용 설명회 자격 요건과 무관하게 누구든지 참여 가능
  가 일시 및 장소 2022 05 24 화 15시16시  비대면온라인화상회의ZOOM
     신청하신 분들에 한해 당일 오전 ZOOM 참가 코드를 개별적으로 발송해드립니다 종합정보시스템에 등재된 이메일 주소 및 전화번호로 각 1회
  나 진행자 진로취업지원센터 박예빈 컨설턴트추천채용 담당 선생님 SMITH사 재직 동문 2인 및 인사 담당자
  다 내용 SMITH사 소개 반도체 산업 및 해외영업직무 설명 채용 과정 안내 등
 3 문의 사항
가 채용 설명회 관련 문의 진로취업지원센터 0221732146 2499
나 SMITH사 관련 문의 인사 담당자 강민호 0221851106 mkangnfsmithcokr
 ",-,단과대학 ,전체,전체,0,50,0,25,25,0,"채용, 온라인, 설명회","졸업생의, 추천채용, 요건과, 무관하게, 운영합니다, 문의, 신청하신, 2인, b2b, 채용"
2022학년도 하계방학 현장실습 사전 설명회지원전략 특강,학부KFL학부,"현장실습학기제에 대한 이해, 신청방법 및 지원전략의 이해"," 신청 기간   202205 17화 15시까지
신청한 학생들을 대상으로 설명회 링크를 17일 16시경 개인 휴대전화 이메일 등으로 송부합니다
 2022하계 현장실습 온라인 신청 기간 20220516월 10시 OPEN  20220527금 16시 실제 모집기간은 기관별 상이
 2022하계 현장실습 기간  20220701금  20220831수 실제 실습기간은 기관별 상이
 현장실습 신청 사이트  httpscoophufsackr 현장실습지원센터 홈페이지
 문의  0221732144 danielkimhufsackr",인턴십현장실습,단과대학 ,전체,전체,25,25,25,25,0,0,"현장실습학기제에, 신청방법, 이해, 대한, 지원전략의","현장실습지원센터, 16시경, 현장실습, 신청한, 2022, 모집기간은, 신청, 실습기간은, 기관별, 휴대전화"
실전모의면접 스터디role play,-,모의면접을 통해 실전 면접에 대비할 수 있는 스킬을 높이고자 함.,"실전모의면접role play을 통해 면접관이 되어보고
 면접자가 되어서 실전 면접에 대비할 수 있는 스킬을 쌓을 수 있습니다 시나리오 제공
 면접 지금 준비하세요 실전에 강해집니다
 ",-,단과대학 ,전체,전체,0,25,50,25,0,0,"모의면접을, 면접에, 스킬을, 실전, 대비할, 통해, 있는, 높이고자","role, 실전, 면접관이, 면접자가, 실전모의면접, 실전에, play, 강해집니다, 시나리오, 면접"
20221해외취업특강 4 마지막회 유럽권 현직자 Talk 520금,학부KFL학부,최신의 해외취업정보 제공을 통해 학생들의 해외취업을 돕는다,"해외취업 현직자 Talk 3탄  마지막회  저녁 810시입니다
 독일 삼성 회계 및 관리 영국 신세시아 영상기획 담당자의 
생생한 해외취업기
  줌링크는특강 10분전에 전달합니다
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"돕는다, 학생들의, 제공을, 통해, 해외취업정보, 해외취업을, 최신의","전달합니다, 10시입니다, 현직자, 담당자의, 저녁, 영국, 생생한, 신세시아, 3탄, 줌링크는특강"
20221해외취업특강 1 해외취업 AtoZ 517화,학부KFL학부,최신의 해외취업정보 제공을 통해 학생들의 해외취업을 돕는다,"해외취업의 모든것 월드잡플러스에서 전하는 해외취업 A to Z
  줌링크는 특강 10분전에 전달합니다
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"돕는다, 학생들의, 제공을, 통해, 해외취업정보, 해외취업을, 최신의","전달합니다, 전하는, 줌링크는, 월드잡플러스에서, 10분전에, 특강, 해외취업의, 해외취업, 모든것"
20221해외취업특강 3 아시아권 현직자 Talk 519목,학부KFL학부,최신의 해외취업정보 제공을 통해 학생들의 해외취업을 돕는다,"해외취업 현직자 Talk 2탄
 말레이지아 딜로이트 CS 일본 이베이 기획업무 담당자의 
생생한 해외취업기
  줌링크는 특강 10분전에 전달합니다
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"돕는다, 학생들의, 제공을, 통해, 해외취업정보, 해외취업을, 최신의","말레이지아, 줌링크는, 현직자, 전달합니다, 생생한, 담당자의, 딜로이트, 10분전에, 일본, 이베이"
20221해외취업특강 2 미주권 현직자 Talk 518수,학부KFL학부,최신의 해외취업정보 제공을 통해 학생들의 해외취업을 돕는다,"해외취업 현직자 Talk 1탄
 미국 패션기업 유통무역 담당자와 캐나다  Food  Beverage 기업에서 인사직무 담당하는 현직자의
생생한 해외취업기
  줌링크는 특강 10분전에 전달합니다
  ",진로취업프로그램강의형,전체,전체,전체,25,25,25,25,0,0,"돕는다, 학생들의, 제공을, 통해, 해외취업정보, 해외취업을, 최신의","인사직무, 현직자의, 담당하는, 전달합니다, 줌링크는, 현직자, 담당자와, 미국, 생생한, 무역"
20221해외취업특강 신청은 개별 특강별로,학부KFL학부,최신의 해외취업정보 제공을 통해 학생들의 해외취업을 돕는다, ,진로취업프로그램강의형,단과대학 대학원 ,전체,전체,0,50,50,0,0,0,"돕는다, 학생들의, 제공을, 통해, 해외취업정보, 해외취업을, 최신의",
20221 현직선배와 함께하는 JOB 콘서트517 드라마 PD  KBS,학부KFL학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악한다,"  드라마 PD 직무 특강KBS에 대한 사전 신청 입니다
약력
 2016 SBS플러스 드라마국 입사 
 저녁연속극 당신은 선물 조연출 
 아침연속극 해피시스터즈 강남스캔들 수상한 장모 조연출 
 주말드라마 그녀로 말할 것 같으면 B팀 연출 
 웹드라마 이별유예 일주일 연출 
 2021 KBS 드라마센터 이직 
회차별 최대 100명까지 선착순 마감이므로 해당 특강 일자 및 일시에 참여가 어려운 학생들은 가급적 신청하지 말아주시고 꼭 참석이 가능한 학생들만 참여 신청 바랍니다
또한 참여신청을 한 학생께서는 꼭 본 특강에 참석 부탁드립니다
 참석이 어려운 경우  다른 학생들에게 피해가 가지 않도록 신청자에게 진행업체인 잇다Itdaa에서 전달하는 카카오톡을 통해 수강취소를 진행하시거나
진로취업지원센터0221732144로 연락하여 취소하시기 바랍니다
참석신청이 확정된 학생들에게는 사전 안내 문자와 사전 질문을 남길 수 있는 방법을 문자 안내할 예정입니다 많은 질의 바랍니다
감사합니다
  711회차까지는 59월513금 15시 기한 신청 받습니다 정말 해당 차수 특강을 꼭 참여할 학생들이 신청하시기 바랍니다
 상기일정은 상황에 따라 변경 혹은 취소될 수 있습니다
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,25,25,25,0,"동문선배의, 생생한, 통해, 현직, 이해, 파악한다, 올바른, 소개를, 직무, 필요역량을","아침연속극, 참석신청이, 신청하시기, 저녁연속극, 신청하지, 신청, 상기일정은, 진행업체인, 선착순, 참여신청을"
20221 현직선배와 함께하는 JOB 콘서트518 인사노무  기아자동차,-,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악한다,"  인사노무 직무 특강기아자동차에 대한 사전 신청 입니다
 약력
전 1801  1811 GS글로벌 종합무역상사 해외영업
현 1811  2102 기아자동차 자동차 제조업 hr운영  채용 전반 관리
     2102  기아자동차 노사기획  노동조합 단체교섭 관리 및 단체협약 체결
 회차별 최대 100명까지 선착순 마감이므로 해당 특강 일자 및 일시에 참여가 어려운 학생들은 가급적 신청하지 말아주시고 꼭 참석이 가능한 학생들만 참여 신청 바랍니다
또한 참여신청을 한 학생께서는 꼭 본 특강에 참석 부탁드립니다
 참석이 어려운 경우  다른 학생들에게 피해가 가지 않도록 신청자에게 진행업체인 잇다Itdaa에서 전달하는 카카오톡을 통해 수강취소를 진행하시거나
진로취업지원센터0221732144로 연락하여 취소하시기 바랍니다
참석신청이 확정된 학생들에게는 사전 안내 문자와 사전 질문을 남길 수 있는 방법을 문자 안내할 예정입니다 많은 질의 바랍니다
감사합니다
  711회차까지는 59월513금 15시 기한 신청 받습니다 정말 해당 차수 특강을 꼭 참여할 학생들이 신청하시기 바랍니다
 상기일정은 상황에 따라 변경 혹은 취소될 수 있습니다
 ",-,단과대학 ,전체,전체,0,25,25,25,25,0,"동문선배의, 생생한, 통해, 현직, 이해, 파악한다, 올바른, 소개를, 직무, 필요역량을","hr운영, 신청하시기, 종합무역상사, 신청하지, 참석신청이, 신청, 상기일정은, 진행업체인, 신청자에게, 참여신청을"
20221 현직선배와 함께하는 JOB 콘서트516 게임산업주넥슨코리아,학부KFL학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악한다,"  게임산업 직무 특강넥슨코리아에 대한 사전 신청 입니다
동문 선배님께서는 졸업 후 입사하여 현재까지 약 4년간 사업PM 직무로 재직 중에 있습니다
  회차별 최대 100명까지 선착순 마감이므로 해당 특강 일자 및 일시에 참여가 어려운 학생들은 가급적 신청하지 말아주시고 꼭 참석이 가능한 학생들만 참여 신청 바랍니다
또한 참여신청을 한 학생께서는 꼭 본 특강에 참석 부탁드립니다
 참석이 어려운 경우  다른 학생들에게 피해가 가지 않도록 신청자에게 진행업체인 잇다Itdaa에서 전달하는 카카오톡을 통해 수강취소를 진행하시거나
진로취업지원센터0221732144로 연락하여 취소하시기 바랍니다
참석신청이 확정된 학생들에게는 사전 안내 문자와 사전 질문을 남길 수 있는 방법을 문자 안내할 예정입니다 많은 질의 바랍니다
감사합니다
  711회차까지는 59월513금 15시 기한 신청 받습니다 정말 해당 차수 특강을 꼭 참여할 학생들이 신청하시기 바랍니다
 상기일정은 상황에 따라 변경 혹은 취소될 수 있습니다
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,25,25,25,0,"동문선배의, 생생한, 통해, 현직, 이해, 파악한다, 올바른, 소개를, 직무, 필요역량을","참석신청이, 학생들에게는, 진행하시거나, 학생들만, 문자와, 참여신청을, 말아주시고, 마감이므로, 선착순, 상기일정은"
20221 현직선배와 함께하는 JOB 콘서트519 미니 컨퍼런스  이직과 커리어 패스 관리  헤드헌터 하이브,학부KFL학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악한다,"  미니 컨퍼런스 특강이직과 커리어 패스 관리에 대한 사전 신청 입니다
 특강 패널 약력  포스터 소속 정보 참조
 취업도 하기 전에 이직 
신입사원 25는 조기퇴사 80는 입사와 함께 이직을 준비하는 시대
평생 직장이라는 개념이 사라진 시대에서 선배님의 이직 경험은 여러분의 커리어 관리에 큰 도움이 될 것입니다
N잡 시대를 어떻게 준비해야할지 막막하신 분이라면 어렵게 모신 선배님들의 이야기를 통해 간접적으로 이직 준비과정을 미리 경험해 보세요 
 회차별 최대 200명까지 선착순 마감이므로 해당 특강 일자 및 일시에 참여가 어려운 학생들은 가급적 신청하지 말아주시고 꼭 참석이 가능한 학생들만 참여 신청 바랍니다
또한 참여신청을 한 학생께서는 꼭 본 특강에 참석 부탁드립니다
 참석이 어려운 경우  다른 학생들에게 피해가 가지 않도록 신청자에게 진행업체인 잇다Itdaa에서 전달하는 카카오톡을 통해 수강취소를 진행하시거나
진로취업지원센터0221732144로 연락하여 취소하시기 바랍니다
참석신청이 확정된 학생들에게는 사전 안내 문자와 사전 질문을 남길 수 있는 방법을 문자 안내할 예정입니다 많은 질의 바랍니다
감사합니다
  711회차까지는 59월513금 15시 기한 신청 받습니다 정말 해당 차수 특강을 꼭 참여할 학생들이 신청하시기 바랍니다
 상기일정은 상황에 따라 변경 혹은 취소될 수 있습니다
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,25,25,25,0,"동문선배의, 생생한, 통해, 현직, 이해, 파악한다, 올바른, 소개를, 직무, 필요역량을","참석신청이, 준비과정을, 상기일정은, 신청하시기, 진행하시거나, 선배님들의, 신청하지, 학생들에게는, 이직과, 선배님의"
20221 현직선배와 함께하는 JOB 콘서트520 기획  네이버,학부KFL학부,현직 동문선배의 생생한 직무 소개를 통해 올바른 직무 이해 및 필요역량을 파악한다,"  기획 직무 특강네이버에 대한 사전 신청 입니다
 약력
한국외대 모의국제연합 37차 사무총장
 2015 하버드 월드문 President 
 포스코 인턴 
 회차별 최대 100명까지 선착순 마감이므로 해당 특강 일자 및 일시에 참여가 어려운 학생들은 가급적 신청하지 말아주시고 꼭 참석이 가능한 학생들만 참여 신청 바랍니다
또한 참여신청을 한 학생께서는 꼭 본 특강에 참석 부탁드립니다
 참석이 어려운 경우  다른 학생들에게 피해가 가지 않도록 신청자에게 진행업체인 잇다Itdaa에서 전달하는 카카오톡을 통해 수강취소를 진행하시거나
진로취업지원센터0221732144로 연락하여 취소하시기 바랍니다
참석신청이 확정된 학생들에게는 사전 안내 문자와 사전 질문을 남길 수 있는 방법을 문자 안내할 예정입니다 많은 질의 바랍니다
감사합니다
  711회차까지는 59월513금 15시 기한 신청 받습니다 정말 해당 차수 특강을 꼭 참여할 학생들이 신청하시기 바랍니다
 상기일정은 상황에 따라 변경 혹은 취소될 수 있습니다
 ",진로취업프로그램강의형,단과대학 ,전체,전체,0,25,25,25,25,0,"동문선배의, 생생한, 통해, 현직, 이해, 파악한다, 올바른, 소개를, 직무, 필요역량을","참석신청이, 모의국제연합, 참여신청을, 신청하시기, 신청하지, 신청, 사무총장, 문자와, 진행하시거나, 선착순"
