프로그램명,프로그램 분류,신청대상,프로그램 목표,프로그램 주요내용,학부,학적,학년,지식·정보·기술 활용역량,자기주도적 학습역량,창의·혁신역량,의사소통 역량,대인관계역량,세계시민역량,프로그램 목표_키워드,프로그램 주요내용_키워드
공공인재 WEEK PreLaw School 출신 합격동문 강연,교육특강,학부대학원,공공부문에 관심있는 학생 대상 정보제공 및 진로설정의 폭 확장," 공공부문에 관심 있는 우리대학 학생들을 대상으로 정보제공 및 진로설정의 폭 확장 기회를 늘리고자 공공인재 WEEK 행사를 개최합니다
 12월 9일금일 진행되는 PreLaw School 연구실 소개 및 합격자 동문 강연에 많은 관심과 참여 부탁드립니다
 1 프로그램명 공공인재 WEEK PreLaw School 출신 합격동문 강연
 2 일시 및 장소 2022129금 17001900  도서관 5층 휠라아쿠쉬네트홀
 3 신청기간 20221122화  2022129금
 4 강연자
신동현  로스쿨 준비 LEET공부
문찬우성균관대 로스쿨 장현승한국외대 로스쿨  로스쿨 생활 강연
강유나법무법인 남평 변호사 설민호삼정회계법인 변호사  로스쿨 졸업후 변호사 생활 강연
   사전 질문을 제출한 인원 중 추첨하여 기프티콘 발송
  참여 신청자에 한하여 행사 당일 안내 문자 발송
   기타 문의 서울 진로취업지원센터 0221732235
   ",전체,전체,전체,50,50,0,0,0,0,"진로설정의, 정보제공, 공공부문에, 학생, 확장, 대상, 관심있는","진로설정의, 성균관대, 신청기간, 공공인재, 장현승, 신동현, 정보제공, 도서관, 합격동문, 공공부문에"
공공인재 WEEK 언론고시 연구실 출신 합격동문 강연,-,학부대학원,공공부문에 관심있는 학생 대상 정보제공 및 진로설정의 폭 확장," 공공부문에 관심 있는 우리대학 학생들을 대상으로 정보제공 및 진로설정의 폭 확장 기회를 늘리고자 공공인재 WEEK 행사를 개최합니다
 12월 9일금 진행되는 언론고시 연구실 소개 및 합격자 동문 강연에 많은 관심과 참여 부탁드립니다
 1 프로그램명 공공인재 WEEK 언론고시 연구실 출신 합격동문 강연
 2 일시 및 장소 2022129금 10001200  도서관 5층 휠라아쿠쉬네트홀
 3 신청기간 20221122화  2022129금
 4 강연자 성윤수국민일보 기자  강다현채널에이PD  김승혜채널에이PD
   사전 질문을 제출한 인원 중 추첨하여 기프티콘 발송
  참여 신청자에 한하여 행사 당일 안내 문자 발송
   기타 문의 서울 진로취업지원센터 0221732235
 ",전체,전체,전체,50,50,0,0,0,0,"진로설정의, 정보제공, 공공부문에, 학생, 확장, 대상, 관심있는","진로설정의, 신청기간, 공공인재, 도서관, 정보제공, 성윤수, 언론고시, 국민일보, 강연자, 관심과"
HUFS English Writing Tutoring 12월 2주차 125129,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"   20222학기 HUFS ENGLISH Writing Tutoring
 튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
  추천인 이벤트
기존 튜터링 참여학생이 친구에게 소개하여 참여한 경우 스타벅스 커피 기프티콘을 드립니다
참여방법 신규 학생 HUFSAbility 로그인  HUFS Writing Tutoring 신청완료  추천인 이름 및 학번 기재
신규학생도 기존 추천 학생도 커피 기프티콘
  유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 이틀 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일은 튜터링 진행 시간 48시간 전 제출을 권장합니다 
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니
신청내역 페이지를 확인하여 주시기 바랍니다 HUFSAbility 비교과프로그램 신청내역  과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교육과정혁신팀 0221732983",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","교육과정혁신팀, 신청완료, 신규학생도, 완료해주시기, 유의사항, 신청자에게는, 작성해주시기, 내용적인, 튜터링을, 상황으로"
심리특강 태우자 분노 털자 스트레스,교육특강,학부KFL학부법학전문대학원대학원,건강한 대학생활을 위한 일상 속 스트레스 관리법 배우기, ,전체,전체,전체,0,0,25,25,50,0,"대학생활을, 건강한, 관리법, 일상, 스트레스, 배우기, 위한",
HUFS English Writing Tutoring 11월 5주차12월 1주차 1128122,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"   20222학기 HUFS ENGLISH Writing Tutoring
 튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
  추천인 이벤트
기존 튜터링 참여학생이 친구에게 소개하여 참여한 경우 스타벅스 커피 기프티콘을 드립니다
참여방법 신규 학생 HUFSAbility 로그인  HUFS Writing Tutoring 신청완료  추천인 이름 및 학번 기재
신규학생도 기존 추천 학생도 커피 기프티콘
  유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 이틀 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일은 튜터링 진행 시간 48시간 전 제출을 권장합니다 
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니
신청내역 페이지를 확인하여 주시기 바랍니다 HUFSAbility 비교과프로그램 신청내역  과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교육과정혁신팀 0221732983",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","교육과정혁신팀, 신청완료, 신규학생도, 완료해주시기, 유의사항, 신청자에게는, 작성해주시기, 내용적인, 튜터링을, 상황으로"
한국어 잘하는 그리스인과의 대화,-,학부그리스.불가리아학과,그리스어 공부에 동기를 부여하고 진로를 탐구해본다.,"그리스학 전공 기획 특강
우리도 할 수 있다 서로 멀고 다른 언어를 성공적으로 배운 두 그리스인의 이야기를 통해 그리스어 공부에 동기부여의 기회를 가져보세요
 그리스인들과의 대화
강의자  julie  Evi
 일시 11월 16일 수요일 오후 2시
장소 인문경상관 411호
 유고결석계가 필요하신 분은 그리스 조교 카카오톡으로 이름학번학년교수님성함수업명수업교시 보내주시길 바랍니다",단과대학 ,전체,전체,25,50,0,25,0,0,"동기를, 그리스어, 공부에, 진로를, 탐구해본다, 부여하고","인문경상관, 그리스인들과의, 동기부여의, 성공적으로, 그리스인의, 수업명, 수업교시, 강의자, 교수님성함, 전공"
면접불안 DOWN 면접실력 UP,워크숍,학부KFL학부,"면접 불안을 이해하고, 실전 적용 노하우에 대해 알 수 있습니다.","안녕하세요 
컨설턴트와 상담심리사가 함께 하는 면접불안 DOWN 면접실력 UP 프로그램 입니다 
 본 프로그램은 비대면으로 진행합니다
 각종 면접 상황에서 마음 속 지진을 경험해본 외대인을 위해 준비했습니다
식은 땀 손발 떨림과 같은 신체증상 무슨 말을 해야 할지 머리가 새하얘지거나 아무말 대잔치 말이 제어가 안 되는 증상 등등등
면접발표 등 나를 드러내는 상황에서 경험하는 불안을 잘 이해하여 대처하고 싶은 
그리고 면접 시 어떻게 하면 보다 나를 더 잘 알릴 수 있을지 그 노하우를 알고 싶은 
고학년 및 졸업유예 졸업생 분들의 많은 관심 부탁드립니다 
 아래 포스터에서 일정 확인하신 후 2회차 모두 참여 가능한 외대인들의 신청 바랍니다 
양일 모두 참여가 어려운 경우 문의 주세요
기타 프로그램 관련 문의사항은 글로벌캠퍼스 진로취업지원센터로 연락주시면 안내드리겠습니다 
감사합니다 
 0313304958  0313304989 
   ",단과대학 ,전체,전체,50,50,0,0,0,0,"면접, 이해하고, 실전, 적용, 노하우에, 대해, 불안을, 있습니다","문의사항은, 상황에서, 신체증상, 면접불안, 신청, 면접실력, 연락주시면, 확인하신, 진행합니다, 이해하여"
취업좌절 대처 프로그램 존중하며 버티는 힘 기르기,-,학부KFL학부,거듭되는 진로/취업 좌절에 대처하기 위한 회복 탄력성 기르기," 진로 설정과 취업 준비 과정에서 거듭되는 좌절을 돌보고 
좌절을 버티는 힘인 회복탄력성을 어떻게 기를 수 있을지 이야기 나누는 시간입니다 
  일시  20221123수 15301730 
 대상  한국외대 졸업생 및 재학생 15명 이내 
 진행  비디오오디오채팅 등을 활용하여 소통할 수 있는 공간에서 비대면ZOOM으로 진행 
 문의  허은정 통합심리상담사  0313304958 counselkarmaejhufsackr
  ",단과대학 ,전체,전체,50,50,0,0,0,0,"탄력성, 대처하기, 좌절에, 진로, 기르기, 회복, 취업, 위한, 거듭되는","시간입니다, 설정과, 이내, 비대면, 오디오, 일시, 비디오, 통합심리상담사, 진행, 문의"
중국외교통상학부 동문의 취업 멘토링,-,중국학대학학부중국외교통상학부,중국외교통상학부생 및 기타 중국학 관심 학생의 취업준비에 도움을 주고자 함,"주제 중국외교통상학부 동문의 취업 멘토링
내용 공기업 대기업 언론사 연구소 우리는 무엇을 어떻게 해야 하나
강연자 박한진 KOTRA 양평섭 대외경제정책연구소 신승대 현대자동차 구기보 숭실대학교 한우덕 중앙일보 양갑용 국가안보전략연구원진행 순서
신청대상 한국외국어대학교 전체 학생
신청대상 한국외국어대학교 전체 학생
신청방법 HUFSAbility 비교과 프로그램 신청
신청기한 20221129화 오후 3시까지 선착순 신청
진행일시 20221130수 17시19시
진행장소 사이버관 대강당
사회자 성은지중국외교통상전공 19학번
 ",전체,전체,전체,0,75,0,0,25,0,"학생의, 중국학, 주고자, 관심, 도움을, 기타, 취업준비에, 중국외교통상학부생","신청기한, 신청대상, 진행장소, 신청방법, 성은지, 현대자동차, 신청, 중앙일보, 진행일시, 숭실대학교"
20222 터키아제르바이잔어과 터키어 말하기 대회초급,-,학부터키.아제르바이잔어과,터키어 말하기/작문 능력과 언어에 대한 자신감을 향상,"20222 터키아제르바이잔어과 터키어 말하기 대회
예선 11월 24일 본선 12월 9일
초급과 중고급으로 나누어 진행하며 각 부문 1등은 터키왕복 항공권 2등은 상금 50만원 수여예정
 ",단과대학 ,전체,전체,0,0,50,50,0,0,"능력과, 말하기, 터키어, 언어에, 자신감을, 대한, 작문, 향상","2022, 11월, 터키아제르바이잔어과, 50만원, 24일, 12월, 2등은, 진행하며, 터키어, 터키왕복"
20222 터키아제르바이잔어과 터키어 말하기 대회중고급,워크숍,학부터키.아제르바이잔어과,터키어 말하기/작문 능력과 언어에 대한 자신감을 향상,"20222 터키아제르바이잔어과 터키어 말하기 대회
예선 11월 24일 본선 12월 9일
초급과 중고급으로 나누어 진행하며 각 부문 1등은 터키왕복 항공권 2등은 상금 50만원 수여예정
 ",단과대학 ,전체,전체,0,0,50,50,0,0,"능력과, 말하기, 터키어, 언어에, 자신감을, 대한, 작문, 향상","2022, 11월, 터키아제르바이잔어과, 50만원, 24일, 12월, 2등은, 진행하며, 터키어, 터키왕복"
HUFS English Writing Tutoring 11월 4주차 11211125,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"   20222학기 HUFS ENGLISH Writing Tutoring
 튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
  추천인 이벤트
기존 튜터링 참여학생이 친구에게 소개하여 참여한 경우 스타벅스 커피 기프티콘을 드립니다
참여방법 신규 학생 HUFSAbility 로그인  HUFS Writing Tutoring 신청완료  추천인 이름 및 학번 기재
신규학생도 기존 추천 학생도 커피 기프티콘
  유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 이틀 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일은 튜터링 진행 시간 48시간 전 제출을 권장합니다 
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니
신청내역 페이지를 확인하여 주시기 바랍니다 HUFSAbility 비교과프로그램 신청내역  과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교육과정혁신팀 0221732983",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","교육과정혁신팀, 신청완료, 신규학생도, 완료해주시기, 유의사항, 신청자에게는, 작성해주시기, 내용적인, 튜터링을, 상황으로"
지중해 지역 신화 전문가 특강,-,학부그리스.불가리아학과경영대학원교육대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)한국어문화교육원법학전문대학원TESOL대학원대학원,신화 전문가의 특강을 듣고 그리스 신화의 이해도를 향상시킨다.,"지중해 지역 신화 전문가 특강  그리스 신화 알파에서 오메가까지
우리는 왜 그리스 신화 속 신들과 영웅들에게서 익숙한 나의 모습을 발견하는가 신화는 결국 우리 인간의 이야기라는 일관된 시선으로 신화를 연구해 오신 사세계신화연구소 소장 김원익 박사님의 지난 20여 년간의 연구를 토대로 그리스 신화를 속속히 파해쳐보자
강사  김원익 박사님 사세계신화연구소 소장 
일시 2022년 11월 7일 월요일  13시 30분  15시 10분
장소 교양관 401호
신청 일시 11월 4일 금요일
유고결석계 발급 가능 신청일시 동일",전체,전체,전체,0,25,0,25,0,50,"전문가의, 신화의, 특강을, 이해도를, 그리스, 신화, 향상시킨다, 듣고","인간의, 년간의, 신들과, 박사님의, 익숙한, 신화는, 신화, 연구해, 발견하는가, 영웅들에게서"
20222학기 페르시아어이란학과 졸업논문발표회,교육특강,학부페르시아어·이란학과대학원,2022-2학기 페르시아어·이란학과 졸업논문발표회,20222학기 페르시아어이란학과 졸업논문발표회,단과대학 대학원 ,전체,전체,50,50,0,0,0,0,"2022, 2학기, 이란학과, 페르시아어, 졸업논문발표회","2022, 2학기, 이란학과, 페르시아어, 졸업논문발표회"
20222 네덜란드어과 현지 지역 전문가 특강,-,학부,네덜란드어과 전공생에게 특수외국어 학습에 대한 목표 의식과 동기부여 제공,"현재 델프트공대에서 건축건조환경학부 건조환경관리학과 도시개발연구팀 소속으로 토지 정책과 공강계획법 체제 도시행정을 연구하시는 강빛나래 선배님을 모시고 네덜란드 내 커리어에 가 되는 법을 제목으로 특강 진행
특강은 1시간 30분 정도 비대면으로 진행되며 네덜란드어과 전공생의 취업 및 학석박사 연계 방법에 대해 알아보는 강연과 QA로 나누어 진행할 예정임",단과대학 ,전체,전체,50,50,0,0,0,0,"전공생에게, 동기부여, 의식과, 네덜란드어과, 제공, 학습에, 목표, 대한, 특수외국어","건조환경관리학과, 건축건조환경학부, 전공생의, 정책과, 도시행정, 델프트공대에서, 강연과, 네덜란드어과, 도시개발연구팀, 비대면으로"
온라인ZOOM 해외 저명인사 초청 특강 2022년 맨부커상 최종후보작 저주토끼 번역가 Anton Hur 토크콘서트,교육특강,학부KFL학부대학원통번역대학원경영대학원교육대학원국제지역대학원경영대학원(주간)경영대학원(야간)정치행정언론대학원KFL대학원TESOL대학원KFL대학원TESOL대학원,진로탐색 및 진로설정," 온라인  ZOOM 참여 신청 
오프라인 대면 참여는 이전 게시물에서 신청바랍니다 
   ",전체,전체,전체,25,25,0,25,25,0,"진로설정, 진로탐색","zoom, 게시물에서, 신청바랍니다, 이전, 신청, 온라인, 오프라인, 대면, 참여, 참여는"
오프라인대면 해외 저명인사 초청 특강 2022년 맨부커상 최종후보작 저주토끼 번역가 Anton Hur 토크콘서트,교육특강,학부KFL학부대학원통번역대학원TESOL대학원경영대학원교육대학원정치행정언론대학원경영대학원(주간)경영대학원(야간)KFL대학원국제지역대학원,진로탐색 및 진로설정," 오프라인  대면 참여 신청 
온라인 ZOOM 참여는 다음 게시물에서 신청바랍니다 
   ",전체,전체,전체,25,25,0,25,25,0,"진로설정, 진로탐색","zoom, 신청바랍니다, 게시물에서, 대면, 신청, 온라인, 오프라인, 참여는, 참여, 다음"
대인관계 증진을 위한 집단상담 나너 그리고 우리,워크숍,학부KFL학부,건강한 대인관계를 만드는 법을 배우기,  ,단과대학 대학원 ,재학 휴학 수료 비재학 ,전체,0,0,25,25,50,0,"건강한, 법을, 배우기, 만드는, 대인관계를",
2022 제2회 한국외대 특수외국어 대사포럼 학생 관객 참여 모집 11월 10일목,워크숍,학부KFL학부,"외국 정부 및 교육 관련 국제기구, 외국의 특수외국어 교육·훈련 기관, 국내외 민간기관·단체와의 협력체계 구축 도모, 특수외국어 해당지역 언어와 문화 이해 고취","신청 방법 HUFSability 선착순 신청 100명
포럼 일정 20221110목 14시 서울캠퍼스 애경홀
대사포럼 차량 운행 안내 글로벌캠퍼스  서울캠퍼스
       11시 40분 백년관글로벌캠퍼스 출발  서울캠퍼스 도착
       17시 30분 본관 앞서울캠퍼스 출발   글로벌캠퍼스 도착
대사포럼 참석시 특수외국어교육원장 명의의 유고결석계 발급 가능
포럼 참여 국가  헝가리 이탈리아 폴란드 스웨덴 탄자니아 튀르키예 브라질 아제르바이잔 인도 이란 몽골 오만 태국
유튜브 생중계  스트리밍 바로가기  httpsyoutubeBTdrsGCt1pI
    ",전체,전체,전체,50,0,0,50,0,0,"민간기관, 언어와, 단체와의, 해당지역, 기관, 문화, 국제기구, 이해, 관련, 정부","서울캠퍼스, 글로벌캠퍼스, hufsability, 신청, 명의의, 애경홀, 100명, 방법, 선착순, 운행"
2022년 9차 학습법특강이공계열 학생들을 위한 기초물리학,교육특강,학부KFL학부,1차시: 단위와 벡터 / 2차시: 물리 문제 풀기 / 3차시: 미적분과 원자의 구조," HUFSAbility에서 신청한 학생들에 한해 관리자가 eclass에 해당 강좌 수강생으로 등록하여 온라인 강좌를 수강할 수 있습니다 
HUFSAbility 신청 후 eclass에 등록되기까지 최대 2일정도 소요됩니다
 ",단과대학 ,재학 휴학 수료 비재학 ,전체,50,25,25,0,0,0,"미적분과, 3차시, 2차시, 1차시, 문제, 벡터, 원자의, 구조, 물리, 풀기","hufsability에서, hufsability, 신청한, 수강생으로, 등록하여, 신청, 수강할, class에, 강좌를, 학생들에"
2022년 7차 학습법특강문과생을 위한 데이터 과학 학습법,교육특강,학부KFL학부,1차시: 데이터 과학과 AI의 개념 / 2차시: 코넬노트 작성법과 오감을 이용한 데이터 과학 학습 / 3차시: 컴퓨터와 데이터 시각화로 배우는 데이터 과학," HUFSAbility에서 신청한 학생들에 한해 관리자가 eclass에 해당 강좌 수강생으로 등록하여 온라인 강좌를 수강할 수 있습니다 
HUFSAbility 신청 후 eclass에 등록되기까지 최대 2일정도 소요됩니다
 ",단과대학 ,재학 휴학 수료 비재학 ,전체,25,25,25,25,0,0,"ai의, 작성법과, 2차시, 이용한, 3차시, 시각화로, 1차시, 컴퓨터와, 과학과, 데이터","hufsability에서, hufsability, 신청한, 수강생으로, 등록하여, 신청, 수강할, class에, 강좌를, 학생들에"
2022년 8차 학습법특강성공적인 대학생활을 위한 학업 관리 전략,-,학부KFL학부,1차시: 시간 관리 / 2차시: 학업 관리 / 3차시: 문해력 관리," HUFSAbility에서 신청한 학생들에 한해 관리자가 eclass에 해당 강좌 수강생으로 등록하여 온라인 강좌를 수강할 수 있습니다 
HUFSAbility 신청 후 eclass에 등록되기까지 최대 2일정도 소요됩니다
 ",단과대학 ,재학 휴학 수료 비재학 ,전체,25,25,25,25,0,0,"2차시, 3차시, 1차시, 관리, 문해력, 시간, 학업","hufsability에서, hufsability, 신청한, 수강생으로, 등록하여, 신청, 수강할, class에, 강좌를, 학생들에"
2022년 6차 학습법특강미네르바 읽기와 토의 토론,교육특강,학부KFL학부,1차시: 의사소통능력의 과거와 현재의 역사적 고찰 / 2차시: 비판적 사고의 구성요소와 평가요소 / 3차시: 미래 취업준비생이 갖춰야 할 스피치 능력," HUFSAbility에서 신청한 학생들에 한해 관리자가 eclass에 해당 강좌 수강생으로 등록하여 온라인 강좌를 수강할 수 있습니다 
HUFSAbility 신청 후 eclass에 등록되기까지 최대 2일정도 소요됩니다
 ",단과대학 ,재학 휴학 수료 비재학 ,전체,25,25,25,25,0,0,"의사소통능력의, 구성요소와, 2차시, 3차시, 1차시, 스피치, 평가요소, 고찰, 역사적, 현재의","hufsability에서, hufsability, 신청한, 수강생으로, 등록하여, 신청, 수강할, class에, 강좌를, 학생들에"
불가리아 정교회와 이콘의 의미,교육특강,그리스.불가리아학과그리스.불가리아학과,불가리아 이콘 전문가 특강," 이콘 작가 한지영 강사님과 함께 하는 불가리아 정교회와 이콘의 의미 특강입니다
 이 프로그램에서 불가리아 정교회와 이콘의 설명을 들을 수 있습니다
 강의 후에는 전통 방식으로 직접 이콘을 그려볼 수 있는 체험 시간이 준비되어 있습니다",단과대학 ,전체,전체,0,0,25,25,0,50,"특강, 전문가, 이콘, 불가리아","특강입니다, 강사님과, 이콘의, 의미, 시간이, 한지영, 강의, 설명을, 방식으로, 이콘을"
HUFS English Writing Tutoring 11월 3주차 11141118,교육특강,학부KFL학부대학원경영대학원통번역대학원교육대학원경영대학원정치행정언론대학원국제지역대학원경영대학원(주간)경영대학원(야간)법학전문대학원TESOL대학원KFL대학원,글로벌 사회와의 효과적인 소통을 위해 학습자들의 외국어 글쓰기 능력 향상,"   20222학기 HUFS ENGLISH Writing Tutoring
 튜터링 분야 
 수강과목과 연계된 영어 글쓰기 보고서 발표문 등
 학술적 글쓰기 학술지 논문 초록 등
 그 외 영문 자기소개서 이력서 일기 등 주제 및 형식 무관
 초급자 환영
  진행 방법  50분간 실시간 온라인 11 튜터링
  신청 방법  HUFSAbility 로그인  HUFS Writing Tutoring
 실시간 튜터링 분반정보 확인  주차별 가능한 스케줄 신청
 글쓰기 공유 신청내역과제란에 글쓰기 파일 업로드 필수
  추천인 이벤트
기존 튜터링 참여학생이 친구에게 소개하여 참여한 경우 스타벅스 커피 기프티콘을 드립니다
참여방법 신규 학생 HUFSAbility 로그인  HUFS Writing Tutoring 신청완료  추천인 이름 및 학번 기재
신규학생도 기존 추천 학생도 커피 기프티콘
  유의사항 신청 전 꼭 읽어주세요
  당일 신청은 불가합니다 신청은 튜터링 진행일 최소 이틀 전까지는 완료해주시기 바랍니다
  첨삭을 원하는 파일은 튜터링 진행 시간 48시간 전 제출을 권장합니다 
미제출 또는 튜터링 시간에 임박하여 제출 시 불합격 상태로 전환되어 튜터링 진행이 어려우니
신청내역 페이지를 확인하여 주시기 바랍니다 HUFSAbility 비교과프로그램 신청내역  과제제출란에 업로드
  신청시 입력사항 프로그램 참여시 중점적으로 튜터링을 받고 싶은 점 eg 문법적인 부분 내용적인 첨삭 등에 대해 사전에 작성해주시기 바랍니다
  신청 후 담당 튜터 선생님 확인 후 합격 상태가 되어야 과제 제출란이 활성화됩니다
수일 이내로 확인할 예정이오니 반드시 신청 후 과제 제출란에 첨삭물을 제출하여 주시기 바랍니다 
  코로나 상황으로 온라인을 통한 실시간 튜터링을 원칙으로 합니다
신청자에게는 따로 이메일학교에 등록되어 있는 메일 주소 또는 문자로 안내 연락이 갈 예정입니다 
  신청 취소는 최소 하루 전까지만 가능합니다 
  노쇼 발생 시 차후 교내에서 진행하는 비교과 프로그램 참여가 불가합니다 HUFSAbility 비교과 프로그램 신청 제한 
참여하지 못할 경우 반드시 사전에 알려주시기 바랍니다
    프로그램 안내 및 취소 문의  교육과정혁신팀 0221732983",단과대학 대학원 ,재학 휴학 ,전체,0,50,0,50,0,0,"글쓰기, 효과적인, 소통을, 학습자들의, 능력, 글로벌, 향상, 위해, 외국어, 사회와의","교육과정혁신팀, 신청완료, 신규학생도, 완료해주시기, 유의사항, 신청자에게는, 작성해주시기, 내용적인, 튜터링을, 상황으로"
